key;name;lang;langName
xml:S125;Sections of code should not be commented out;xml;XML
typescript:S4043;Array-mutating methods should not be used misleadingly;ts;TypeScript
javascript:S3504;Variables should be declared with "let" or "const";js;JavaScript
python:S112;"Exception" and "BaseException" should not be raised;py;Python
javascript:S3626;Jump statements should not be redundant;js;JavaScript
python:S1192;String literals should not be duplicated;py;Python
python:S3516;Functions returns should not be invariant;py;Python
typescript:S3776;Cognitive Complexity of functions should not be too high;ts;TypeScript
python:S1515;Functions and lambdas should not reference variables defined in enclosing loops;py;Python
python:S3626;Jump statements should not be redundant;py;Python
typescript:S1110;Redundant pairs of parentheses should be removed;ts;TypeScript
typescript:S4621;Union and intersection types should not be defined with duplicated elements;ts;TypeScript
typescript:S1533;Wrapper objects should not be used for primitive types;ts;TypeScript
css:S4666;Selectors should not be duplicated;css;CSS
typescript:S5869;Character classes in regular expressions should not contain the same character twice;ts;TypeScript
python:S100;Method names should comply with a naming convention;py;Python
python:S5806;Builtins should not be shadowed by local variables;py;Python
javascript:S1788;Function parameters with default values should be last;js;JavaScript
css:S4667;CSS files should not be empty;css;CSS
typescript:S4325;Redundant casts and non-null assertions should be avoided;ts;TypeScript
python:S6353;Regular expression quantifiers and character classes should be used concisely;py;Python
typescript:S6440;React Hooks should be properly called;ts;TypeScript
typescript:S6439;React components should not render non-boolean condition values;ts;TypeScript
typescript:S6443;React state setter function should not be called with its matching state variable;ts;TypeScript
typescript:S128;Switch cases should end with an unconditional "break" statement;ts;TypeScript
typescript:S1121;Assignments should not be made from within sub-expressions;ts;TypeScript
python:S5754;"SystemExit" should be re-raised;py;Python
python:S1186;Functions and methods should not be empty;py;Python
python:S1172;Unused function parameters should be removed;py;Python
python:S1854;Unused assignments should be removed;py;Python
python:S5655;Arguments given to functions should be of an expected type;py;Python
python:S1481;Unused local variables should be removed;py;Python
typescript:S6441;Unused methods of React components should be removed;ts;TypeScript
python:S5843;Regular expressions should not be too complicated;py;Python
javascript:S4326;"await" should not be used redundantly;js;JavaScript
python:S1940;Boolean checks should not be inverted;py;Python
python:S5857;Character classes should be preferred over reluctant quantifiers in regular expressions;py;Python
python:S5850;Alternatives in regular expressions should be grouped when used with anchors;py;Python
python:S1135;Track uses of "TODO" tags;py;Python
javascript:S3358;Ternary operators should not be nested;js;JavaScript
typescript:S1135;Track uses of "TODO" tags;ts;TypeScript
javascript:S2681;Multiline blocks should be enclosed in curly braces;js;JavaScript
javascript:S1186;Functions should not be empty;js;JavaScript
typescript:S1134;Track uses of "FIXME" tags;ts;TypeScript
typescript:S1874;Deprecated APIs should not be used;ts;TypeScript
typescript:S1186;Functions should not be empty;ts;TypeScript
typescript:S3358;Ternary operators should not be nested;ts;TypeScript
python:S3776;Cognitive Complexity of functions should not be too high;py;Python
javascript:S1874;Deprecated APIs should not be used;js;JavaScript
typescript:S1128;Unnecessary imports should be removed;ts;TypeScript
Web:S5254;"<html>" element should have a language attribute;web;HTML
python:S1871;Two branches in a conditional structure should not have exactly the same implementation;py;Python
javascript:S1126;Return of boolean expressions should not be wrapped into an "if-then-else" statement;js;JavaScript
javascript:S1135;Track uses of "TODO" tags;js;JavaScript
